kana,kanji,pos,loanword,trans
あう,会う,verb,,to meet
あお,青,noun,,blue
あおい,青い,adjective,,blue; green (for nature)
あか,赤,noun,,red
あかい,赤い,adjective,,red
グレー,,noun,grey,grey; gray
むらさき,紫,noun,,purple; violet
あかちゃん,赤ちゃん,noun,,baby
あき,秋,noun,,fall; autumn
あく,開く,verb,,to open (intransitive)
あける,開ける,verb,,to open
あげる,上げる,verb,,to raise; to give
あさ,朝,noun,,morning
あがごはん,朝ご飯,noun,,breakfast
あした,明日,noun,,tomorrow
あそこ,,pronoun,,over there
あそぶ,遊ぶ,verb,,to play; to hang out
あたたかい,暖かい,adjective,,warm
あたま,頭,noun,,head
あたらしい,新しい,adjective,,new
あちら,,pronoun,,the way over there (polite)
あつさ,暑さ,noun,,heat (of the weather); hotness
あつい,暑い,adjective,,hot (weather)
あつい,熱い,adjective,,hot (objects/touch)
あつい,厚い,adjective,,thick; kind/warm-hearted
こい,濃い,adjective,,deep (colour); dark
あっち,,pronoun,,over there (casual)
あと,後,noun,,after; later; remaining
あなた,,pronoun,,you
あに,兄,noun,,older brother (humble)
あね,姉,noun,,older sister (humble)
あの,,rentaishi,,that over there
アパート,,noun,apartment​,apartment​
あぶない,危ない,adjective,,dangerous
あまい,甘い,adjective,,sweet
あめ,飴,noun,,candy
あめ,雨,noun,,rain
あらう,洗う,verb,,to wash
ある,,verb,,to exist (inanimate); there is
あるく,歩く,verb,,to walk
あれ,,pronoun,,that one over there
いいえ,,interjection,,no
いう,言う,verb,,to say
いえ,家,noun,,house; home
いかが,,adverb,,how (polite)
いく,行く,verb,,to go
いくつ,,adverb,,how many; how old
いくら,,adverb,,how much
いけ,池,noun,,pond
いしゃ,医者,noun,,doctor
いす,椅子,noun,,chair
いそがしい,忙しい,adjective,,busy
いたい,痛い,adjective,,painful; hurts
いち,一,numeric,,one
ちゅうこ,中古,noun,,used; second-hand; old
ふえる,増える,verb,,to increase; to multiply​
つかう,使う,verb,,"to use (a tool, method, etc.); to make use of; to put to use"
ちょうさ,調査,verb,,inquiry; enquiry; survey
だい,台,noun,,counter for machines and vehicles
いじょう,以上,noun,,beyond (e.g. one's expectations); above; more than; further than
つづく,続く,verb,,to continue; to last; to go on
つづける,続ける,verb,,to continue; to keep up; to keep on
りゆう,理由,noun,,reason; grounds; pretext; excuse; motive
きけん,危険,noun,,danger; peril; hazard​
きゅう,急,adjective,,sudden; abrupt; unexpected
つよい,強い,adjective,,strong; potent; competent; domineering; tough
など,,particle,,et cetera; etc.; and the like; and so forth​
ねっちゅうしょう,熱中症,noun,,heatstroke
けいかい,警戒,noun,,vigilance; caution; alertness; precaution; being on guard
アラート,,noun,alert,alert; warning
ひくい,低い,adjective,,low (position); close to the ground
あふれる,溢れる,verb,,to overflow; to brim over; to flood​
ちがう,違う,verb,,to differ (from); to be different; to be distinct; to be unlike; to vary; to disagree (with)
おんど,温度,noun,,temperature
きおん,気温,noun,,(air) temperature
かわる,変わる,verb,,to change; to be transformed; to be altered; to vary
しらべる,調べる,verb,,to examine; to look up; to investigate; to check up; to sense; to study; to inquire; to search
おく,置く,verb,,to put; to place
くらべる,比べる,verb,,to compare; to make a comparison (between)
じゅんばん,順番,noun,,order; turn
かじ,火事,noun,,fire; conflagration
ひなん,避難,noun,,taking refuge; finding shelter; evacuation; escape; seeking safe haven
おこる,起こる,verb,,to occur; to happen
くうき,空気,noun,,air; atmosphere
かわく,乾く,noun,,to get dry
せいふ,政府,noun,,government; administration; ministry
しゅと,首都,noun,,(national) capital (city); metropolis
まわり,周り,noun,,surroundings; neighbourhood; neighborhood; vicinity
ちいき,地域,noun,,area; region; district; locality
けす,消す,verb,,to erase; to rub out; to rub off; to cross out; to delete
まま,,noun,,as (it is); remaining (in a state); keeping (the same); leaving (unchanged)​
マグニチュード,,noun,magnitude,magnitude
じしん,地震,noun,,earthquake
しんど,震度,noun,,seismic intensity
ゆれる,揺れる,verb,,to shake; to sway; to rock; to swing; to tremble; to jolt; to pitch; to roll; to flicker
けが,怪我,noun,,injury; wound
はこぶ,運ぶ,verb,,to carry; to transport; to move; to convey
にげる,逃げる,verb,,to run away; to flee; to get away (e.g. from danger); to escape; to break out; to leave (e.g. one's spouse); to take cover
ショッピングセンター,,noun,shopping center,shopping centre; shopping center; shopping mall
